chunk_id,segment_index,segment_id,segment_type,page_number,content,html,markdown,image,bbox_left,bbox_top,bbox_width,bbox_height
026d8a85-5351-4799-b2b3-0f50f86bcf58,0,F8WT5ze,Text,1,AECOM,<p>AECOM</p>,AECOM,,147.4704,58.4208,215.5104,54.2016
026d8a85-5351-4799-b2b3-0f50f86bcf58,1,KOGRG7A,Text,1,Consultancy Agreement No. C1501 Design Services for Tuen Ma Extension,<p>Consultancy Agreement No. C1501 Design Services for Tuen Ma Extension</p>,Consultancy Agreement No. C1501 Design Services for Tuen Ma Extension,,1872.3888,51.6384,356.328,48.2112
026d8a85-5351-4799-b2b3-0f50f86bcf58,2,FqL_95L,Text,1,MTR Corporation Limited,<p>MTR Corporation Limited</p>,MTR Corporation Limited,,1214.8704,257.7744,433.00806,40.823975
026d8a85-5351-4799-b2b3-0f50f86bcf58,3,RlRZE6Q,Text,1,Consultancy Agreement No. C1501 Design Services for Tuen Ma Extension,<p>Consultancy Agreement No. C1501 Design Services for Tuen Ma Extension</p>,Consultancy Agreement No. C1501 Design Services for Tuen Ma Extension,,1214.1648,381.2688,674.06396,123.98401
026d8a85-5351-4799-b2b3-0f50f86bcf58,4,pfPCLWY,Text,1,2.4C A16 Reference Design Building Services Design Final Report with Federated Design Model and Drawings,<p>2.4C A16 Reference Design Building Services Design Final Report with Federated Design Model and Drawings</p>,2.4C A16 Reference Design Building Services Design Final Report with Federated Design Model and Drawings,,1213.5312,715.7088,1011.85913,81.90723
026d8a85-5351-4799-b2b3-0f50f86bcf58,5,IFuVZXO,Text,1,Rev. A January 2023,<p>Rev. A January 2023</p>,Rev. A January 2023,,1212.1632,882.5472,230.81763,122.05444
026d8a85-5351-4799-b2b3-0f50f86bcf58,6,zuyy3GO,Text,1,"This report is prepared for MTR Corporation Limited (MTR) and is given for its sole benefit in relation to and pursuant to Consultancy Agreement No. C1501 Design Services for Tuen Ma Extension and may not be disclosed to, quoted to or relied upon by any person other than MTR. No person (other than MTR) into whose possession a copy of this report comes may rely on this report without our express written consent and MTR may not rely on it for any purpose other than as described above","<p>This report is prepared for MTR Corporation Limited (MTR) and is given for its sole benefit in relation to and pursuant to Consultancy Agreement No. C1501 Design Services for Tuen Ma Extension and may not be disclosed to, quoted to or relied upon by any person other than MTR. No person (other than MTR) into whose possession a copy of this report comes may rely on this report without our express written consent and MTR may not rely on it for any purpose other than as described above</p>","This report is prepared for MTR Corporation Limited (MTR) and is given for its sole benefit in relation to and pursuant to Consultancy Agreement No. C1501 Design Services for Tuen Ma Extension and may not be disclosed to, quoted to or relied upon by any person other than MTR. No person (other than MTR) into whose possession a copy of this report comes may rely on this report without our express written consent and MTR may not rely on it for any purpose other than as described above",,132.6528,1438.1569,947.9232,118.353516
026d8a85-5351-4799-b2b3-0f50f86bcf58,7,xSYm2xe,Table,1,"<table>
  <thead>
    <tr>
      <th>Date</th>
      <th>Rev.</th>
      <th colspan=""2"">Prepared</th>
      <th colspan=""2"">Checked</th>
      <th colspan=""2"">Approved</th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <td>July 2022</td>
      <td>0</td>
      <td>CT</td>
      <td></td>
      <td>JY</td>
      <td></td>
      <td>JBM</td>
      <td></td>
    </tr>
    <tr>
      <td>Jan 2023</td>
      <td>A</td>
      <td>CT</td>
      <td></td>
      <td>JY</td>
      <td></td>
      <td>JBM</td>
      <td></td>
    </tr>
    <tr>
      <td></td>
      <td></td>
      <td></td>
      <td></td>
      <td></td>
      <td></td>
      <td></td>
      <td></td>
    </tr>
    <tr>
      <td></td>
      <td></td>
      <td></td>
      <td></td>
      <td></td>
      <td></td>
      <td></td>
      <td></td>
    </tr>
    <tr>
      <td></td>
      <td></td>
      <td></td>
      <td></td>
      <td></td>
      <td></td>
      <td></td>
      <td></td>
    </tr>
  </tbody>
</table>","<table>
  <thead>
    <tr>
      <th>Date</th>
      <th>Rev.</th>
      <th colspan=""2"">Prepared</th>
      <th colspan=""2"">Checked</th>
      <th colspan=""2"">Approved</th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <td>July 2022</td>
      <td>0</td>
      <td>CT</td>
      <td></td>
      <td>JY</td>
      <td></td>
      <td>JBM</td>
      <td></td>
    </tr>
    <tr>
      <td>Jan 2023</td>
      <td>A</td>
      <td>CT</td>
      <td></td>
      <td>JY</td>
      <td></td>
      <td>JBM</td>
      <td></td>
    </tr>
    <tr>
      <td></td>
      <td></td>
      <td></td>
      <td></td>
      <td></td>
      <td></td>
      <td></td>
      <td></td>
    </tr>
    <tr>
      <td></td>
      <td></td>
      <td></td>
      <td></td>
      <td></td>
      <td></td>
      <td></td>
      <td></td>
    </tr>
    <tr>
      <td></td>
      <td></td>
      <td></td>
      <td></td>
      <td></td>
      <td></td>
      <td></td>
      <td></td>
    </tr>
  </tbody>
</table>","|           |      |              |      |         |              |          |     |
|-----------|------|--------------|------|---------|--------------|----------|-----|
| Date      | Rev. | Prepared     |      | Checked |              | Approved |     |
| July 2022 | 0    | CT           | cafe | JY      | 0 [x] | JBM      |     |
| Jan 2023  | A    | CT           | ate  | JY      | 0 [x] | JBM      |     |
|           |      |              |      |         |              |          | f   |
|           |      |              |      |         |              |          |     |
|           |      | [ ] |      |         | [ ] |          |     |",https://storage.googleapis.com/chunkr-prod-bucket/b1e41788-2d6e-4f8e-ad16-2e39fb334c57/5d9ffc1b-8d78-44ef-813d-5174c6bbebed/images/xSYm2xe.jpg?x-id=GetObject&response-content-disposition=inline&response-content-encoding=utf-8&response-content-type=image%2Fjpeg&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=GOOG1EBMQ2D33SPB3VQ4MMVJEKXWQFNK5WS57JRFVYUSD3ZCA76OC3B74IG7C%2F20260119%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20260119T145120Z&X-Amz-Expires=3600&X-Amz-SignedHeaders=host&X-Amz-Signature=6987852f11fdf39e0d20c80b5a03b6077a3d06610d05b5c76fc2f747ecb46cd2,1217.5776,1379.9664,1017.4607,151.73279
026d8a85-5351-4799-b2b3-0f50f86bcf58,8,TjhZ2EM,Text,1,ePMS Transmittal No .: C1501-DED-ACM-BS-000021A File: 60644470/18.2.4C,<p>ePMS Transmittal No .: C1501-DED-ACM-BS-000021A File: 60644470/18.2.4C</p>,ePMS Transmittal No .: C1501-DED-ACM-BS-000021A File: 60644470/18.2.4C,,1217.9664,1554.912,488.24634,56.750366
026d8a85-5351-4799-b2b3-0f50f86bcf58,9,019k2ej,Text,2,AECOM,<p>AECOM</p>,AECOM,,139.9392,50.1264,164.44801,41.3568
